"nacimiento","genero","industria","sector","nucleo","em_fom_remoto","em_fom_camb_remoto","t_dez_remoto","t_casa","t_familia","t_remoto_3meses","t_pref_remoto_3meses","h_trabajo_remoto"
"1976","1","13","31","1","2","2","0","1","7","0.5","0.8","8"
"1971","1","5","31","2","1","1","0","4","4","0.1","0.5","10"
"1974","1","8","25","1","2","2","0","3","4","1","1","9"
"1985","1","11","37","1","1","1","2","4","2","0.5","0.4","8"
"1992","2","2","2","2","2","2","0.5","0.5","5","1","1","9"
"1981","2","13","31","2","1","1","0.5","0","8.5","1","1","8"
"1968","2","2","2","2","5","4","0","3","4","0.5","0.2","8"
"1976","1","14","30","7","2","2","0","2","2","0.8","0.8","12"
"1972","2","17","24","5","1","1","5","5","5","0.3","0.1","5"
"1995","2","17","35","6","3","3","0.5","3","4.5","0.8","1","8"
"1959","1","19","25","1","2","2","1","0","11","1","1","4"
"1964","2","19","2","1","2","4","1","4","3","0.7","0.5","8"
"1975","2","13","42","5","1","1","1","4.5","4.5","0.3","0.5","7"
"1974","3","14","31","4","3","2","0","2","6","1","1","9"
"1960","1","13","25","2","3","2","0","1","5","1","1","10"
"1965","1","5","28","2","3","1","0","1.5","4.5","0.9","0.9","10"
"1981","2","10","31","7","2","2","1","3","4","0.5","0.5","8"
"1966","2","14","28","2","1","2","0","3","5","0","0","8"
"1974","2","19","5","1","1","1","0.5","2","4","0.5","0.5","10"
"1978","1","8","27","1","1","1","1","1","3","0.9","0.9","11"
"1984","1","11","31","1","5","2","0","5","3","1","1","10"
"1983","1","8","27","1","2","2","1","4","4","0.8","1","8"
"1980","1","10","31","1","1","1","8","2","4","0.5","0.5","2"
"1962","1","10","31","2","1","2","0","3","4","1","0.5","9"
"1987","1","17","38","4","2","1","1","4","4","0.4","0.4","9"
"1972","1","10","31","1","2","2","0","4","3","0.8","0.8","9"
"1963","1","14","28","2","2","2","0.5","2","3.5","0.05","0.05","10"
"1992","1","8","27","7","2","2","0","2","6.5","0.9","0.8","7.5"
"1961","1","16","22","2","2","2","0","6","5","0.1","0.2","6"
"1990","2","13","28","2","3","1","1.5","3","4","0.7","0.7","8"
"1974","2","9","30","1","1","1","0.5","3","2","1","1","10.5"
"1985","2","9","32","1","5","5","0.5","4","5","0.3","1","8.5"
"1977","1","15","31","6","2","1","0.5","2.5","5","1","1","9"
"1957","2","9","9","6","5","3","2","4","4","0.2","0","7"
"1978","2","8","30","7","1","1","0","0","0","0.5","0.6","16"
"1965","1","18","2","7","2","2","0.5","2","1.5","0.05","0","12"
"1965","1","5","37","1","2","2","0","3","3","0.9","1","9"
"1973","1","15","32","7","2","2","0","1","8","0.5","0.2","8"
"1966","2","14","27","7","4","1","0","3","3","1","1","10"
"1995","2","2","23","5","2","1","5","7","3","0.2","0.1","6"
"1970","1","8","2","1","2","4","2","2","1","0.7","0.6","10"
"1978","2","6","29","1","2","2","3","5","3","0.6","0.6","6"
"1986","2","8","32","2","2","2","0","0","9","1","1","7"
"1992","2","14","28","2","2","2","0.5","4","4","0.4","0.4","8"
"1984","2","18","28","1","1","1","4","2","2","0.8","0.5","8"
"1998","2","17","24","4","1","1","1","4","2","0","0.5","8"
"1987","2","8","6","1","1","2","0.5","4","4","0.3","0.5","8"
"1974","1","8","25","1","1","2","0","3","3","1","1","10"
"1989","1","13","2","7","1","2","0","0","7","1","1","7"
"1981","2","10","27","7","3","4","0","5","5","0.3","0.9","8"
"1978","1","1","24","1","2","4","1","4","3","0.1","0.1","8"
"1992","2","9","2","4","1","1","1","1","6","0.4","0.2","8"
"1968","1","14","31","1","4","4","0","3","5","1","1","8.5"
"1999","1","17","33","4","1","1","0","0","6","0","0","8"
"1996","2","8","27","7","2","2","1","1","6","1","1","8"
"1999","2","13","33","2","5","5","0.5","5","3","0","0.05","8"
"1966","1","15","27","1","4","4","0","3.5","5","1","1","7.5"
"1993","2","8","27","4","3","1","0.5","2","5.5","0.05","1","8"
"1999","2","17","21","2","5","5","0","7","2","0.2","0","5"
"1995","2","16","3","2","2","1","0.5","3","5.5","0.4","0.8","8"
"1989","2","5","13","1","2","2","1","1","6","0.4","0.5","8"
"1990","2","11","27","2","1","1","2","4","3","1","1","8"
"1992","2","5","5","1","2","2","1","3","4","0.5","0.5","6"
"1982","2","17","27","1","1","2","0.5","1.5","5","0.3","0.3","8"
"1977","1","2","1","7","1","2","0","1","11","0.6","0.6","5"
"1994","2","9","32","2","5","5","0.5","3","3.5","0.3","0.5","8"
"1984","1","8","22","2","2","2","0","4","4","1","1","8"
"1994","1","8","27","2","1","2","0.5","1.5","3","0.5","0.4","11"
"1990","2","10","35","1","2","2","0","5","3","0.3","0.6","6"
"1973","1","15","32","7","2","2","0","0","9","0.2","0.4","8"
"1974","1","14","25","1","1","1","0","3","4","1","1","9"
"1985","1","5","22","7","3","1","0.5","2","4","0.5","0.7","9.5"
"1983","2","8","6","7","3","2","0","0","6","0.8","1","9"
"1996","1","14","11","7","5","5","2","2","5","0.05","0.05","8"
"1987","1","7","26","2","2","2","2","2","2","0.3","0.4","8"
"1963","1","13","28","1","3","3","0","2","4","0","0","10"
"1981","2","16","34","1","1","1","1","5","4","0.9","0.8","9"
"1994","2","13","30","5","5","4","1","3","3","0.5","0.5","12"
"1980","1","5","41","3","1","1","0.5","2","6","1","1","8"
"1997","2","2","37","6","2","2","0.5","3","5","0.8","0.5","8"
"1960","2","14","28","2","3","1","0.5","4.5","4","0.8","0.8","8"
"1974","2","8","4","1","1","2","0","3","4","0.2","1","9"
"1980","2","10","31","3","4","2","0","4","4","0.1","0.05","8"
"1973","2","17","33","5","1","1","0","7","8","0.05","0.05","1"
"1971","2","2","7","2","4","4","0.5","5","5.5","1","1","5"
"1988","2","3","9","2","2","5","20","0","0","0.2","0.2","0"
"1974","2","19","7","1","1","1","0","4","4","0.6","1","10"
"1990","2","10","31","1","1","2","1","3","6","0.1","0.2","6"
"1960","1","8","27","7","4","1","1","2","8","1","1","5"
"1970","1","10","28","1","1","1","0","4","5","0.6","0.8","7"
"1987","2","7","33","5","2","1","3","5","7","0.3","0.3","6"
"1964","1","14","34","2","1","2","0.5","2","5.5","0.2","0.2","9"
"1987","1","17","10","5","1","5","2","3","6","0.2","0.2","7"
"1973","1","14","31","2","1","1","0","1","7","1","1","8.5"
"1958","2","9","41","2","4","4","0","3","7","1","1","4"
"1969","2","9","9","1","1","1","0","4","6","0.5","0.5","6"
"1985","1","11","34","7","3","2","5","5","5","0.1","0.2","5"
